Target_Location,Name,Cuisine,Rating,Cost_for_Two,URL
Mathura,Pizza Hut,"Pizza, Fast Food, Desserts, Beverages",-,₹600 for two,https://www.zomato.com/mathura/pizza-hut-9-mathura-locality/info
Mathura,The Foodies Bar,"Fast Food, Momos, Burger, Desserts, Coffee, Shake, Beverages",4.4,"₹1,000 for two",https://www.zomato.com/mathura/the-foodies-bar-mathura-locality/info
Mathura,The Belgian Waffle Co.,"Waffle, Pancake, Ice Cream, Desserts, Beverages",-,₹200 for two,https://www.zomato.com/mathura/the-belgian-waffle-co-mathura-locality/info
Mathura,Brijwasi Centrum,"Chinese, Continental, Desserts, Drinks Only, Fast Food, Gujarati, Ice Cream",4.2,"₹1,000 for two",https://www.zomato.com/mathura/brijwasi-centrum-mathura-locality/info
Mathura,Centre Point,"South Indian, North Indian, Chinese",4.9,₹250 for two,https://www.zomato.com/mathura/centre-point-mathura-locality/info
Mathura,The Trunk Bar & Restaurant,"North Indian, Mughlai, Biryani, Kebab, Asian, Thai, Chinese, Beverages",3.9,"₹1,000 for two",https://www.zomato.com/mathura/the-trunk-bar-restaurant-mathura-locality/info
Mathura,Tomar Guest House,N/A,-,₹300 for two,https://www.zomato.com/mathura/tomar-guest-house-mathura-locality/info
Mathura,Haldiram's,"North Indian, Mithai, Street Food, South Indian, Chinese, Beverages",3.0,₹400 for two,https://www.zomato.com/mathura/haldirams-mathura-locality/info
Mathura,Da Pizza Point,"Pizza, Burger, Fast Food, Street Food",3.7,₹300 for two,https://www.zomato.com/mathura/da-pizza-point-mathura-locality/info
Mathura,McDonald's,"Cafe, Beverages, Burger, Fast Food, Coffee",3.2,₹500 for two,https://www.zomato.com/mathura/mcdonalds-mathura-locality/info
Mathura,Cha Maska,"Cafe, Coffee, North Indian, Chinese, Pizza, Fast Food, Desserts, Tea",-,"₹1,000 for two",https://www.zomato.com/mathura/cha-maska-1-mathura-locality/info
Mathura,Pine & Dine Rooftop Cafe,"Burger, Momos, Fast Food, North Indian, Shake, Beverages",-,₹500 for two,https://www.zomato.com/mathura/pine-dine-rooftop-cafe-mathura-locality/info
Mathura,Gola Patties & Tea Stall,"Fast Food, Bakery, Desserts",4.1,₹200 for two,https://www.zomato.com/mathura/gola-patties-tea-stall-mathura-locality/info
Mathura,Hot Bite Fresh And Tasty Food,"Fast Food, Chinese, Street Food",3.4,₹200 for two,https://www.zomato.com/mathura/hot-bite-fresh-and-tasty-food-mathura-locality/info
Mathura,The Burger Hub,"Pizza, Fast Food, Street Food",3.8,₹350 for two,https://www.zomato.com/mathura/the-burger-hub-mathura-locality/info
Mathura,Pizza Paradise,"Fast Food, Chinese, Street Food",3.8,₹300 for two,https://www.zomato.com/mathura/pizza-paradise-mathura-locality/info
Mathura,Agrawal Restaurant (Since 1969),"North Indian, Fast Food",3.9,₹300 for two,https://www.zomato.com/mathura/agrawal-restaurant-since-1969-mathura-locality/info
Mathura,Mittal Foods,"North Indian, Chinese",3.9,₹350 for two,https://www.zomato.com/mathura/mittal-foods-1-mathura-locality/info
Mathura,Bhole Brijwasi Bhojnalay,N/A,3.0,₹300 for two,https://www.zomato.com/mathura/bhole-brijwasi-bhojnalay-mathura-locality/info
Mathura,The Pizza Hub,"Fast Food, Pizza, Burger, Sandwich, Beverages, Street Food, South Indian",-,₹300 for two,https://www.zomato.com/mathura/the-pizza-hub-mathura-locality/info
Mathura,Shankar Mithai Wala,"Mithai, North Indian, Beverages",4.6,₹350 for two,https://www.zomato.com/mathura/shankar-mithai-wala-mathura-locality/info
Mathura,Burger King,"Burger, Fast Food, Beverages",3.8,₹350 for two,https://www.zomato.com/mathura/burger-king-mathura-locality/info
Mathura,Maa Gaura Restaurant,"North Indian, Chinese, Street Food",N/A,₹450 for two,https://www.zomato.com/mathura/maa-gaura-restaurant-mathura-locality/info
Mathura,Domino's Pizza,"Pizza, Italian, Pasta, Fast Food, Desserts",2.4,₹400 for two,https://www.zomato.com/mathura/dominos-pizza-1-mathura-locality/info
Mathura,Sanskar Foods,"Fast Food, North Indian, Beverages",-,₹300 for two,https://www.zomato.com/mathura/sanskar-foods-mathura-locality/info
Mathura,KFC,"Burger, Fast Food, Rolls",3.6,₹500 for two,https://www.zomato.com/mathura/kfc-1-mathura-locality/info
Mathura,Hotel Brijwasi Royal,"South Indian, Sandwich, North Indian, Chinese, Beverages",3.6,"₹1,000 for two",https://www.zomato.com/mathura/hotel-brijwasi-royal-mathura-locality/info
Mathura,Dosa Plaza - Hotel Divinity,"South Indian, North Indian, Chinese",4.0,₹550 for two,https://www.zomato.com/mathura/dosa-plaza-hotel-divinity-mathura-locality/info
Mathura,New Pizza Point Restaurant,"Pizza, Burger, Street Food, Fast Food",-,₹300 for two,https://www.zomato.com/mathura/new-pizza-point-restaurant-mathura-locality/info
Mathura,Gokul Hotel & Family Restaurant,"North Indian, Beverages",-,₹200 for two,https://www.zomato.com/mathura/gokul-hotel-family-restaurant-mathura-locality/info
Mathura,Rudr Shiva By Mama Yadav,"North Indian, Chinese",3.6,"₹1,000 for two",https://www.zomato.com/mathura/rudr-shiva-by-mama-yadav-mathura-locality/info
Mathura,Prince Restaurant,"Fast Food, North Indian, Charcoal Chicken, Biryani",4.6,"₹1,000 for two",https://www.zomato.com/mathura/prince-restaurant-2-mathura-locality/info
Mathura,Rahul Bakers,"Bakery, North Indian",3.9,₹450 for two,https://www.zomato.com/mathura/rahul-bakers-mathura-locality/info
Mathura,Shri Giriraj Ji Parathe Wale,N/A,N/A,₹250 for two,https://www.zomato.com/mathura/shri-giriraj-ji-parathe-wale-mathura-locality/info
Mathura,Shyambhog Family Restaurant,"North Indian, Chinese, Fast Food",N/A,₹400 for two,https://www.zomato.com/mathura/shyambhog-family-restaurant-mathura-locality/info
Mathura,Vijay Store & Confectioners,N/A,-,₹200 for two,https://www.zomato.com/mathura/vijay-store-confectioners-1-mathura-locality/info
Mathura,The Elyra Cafe & Restaurant,"North Indian, South Indian, Chinese, Pizza, Fast Food, Desserts, Shake, Beverages",-,"₹1,000 for two",https://www.zomato.com/mathura/the-elyra-cafe-restaurant-1-mathura-locality/info
Mathura,Lazeej,"Fast Food, North Indian, Street Food, Juices",-,₹200 for two,https://www.zomato.com/mathura/lazeej-mathura-locality/info
Mathura,Vip Pizza,"Street Food, Fast Food, Pizza, Shake, Beverages",-,₹300 for two,https://www.zomato.com/mathura/vip-pizza-3-mathura-locality/info
Mathura,Majeed Restaurant,"Biryani, Mughlai, Afghan",3.7,₹200 for two,https://www.zomato.com/mathura/majeed-restaurant-3-mathura-locality/info
Mathura,Standard Cake Bank,"Pizza, Fast Food, Burger",3.8,₹200 for two,https://www.zomato.com/mathura/standard-cake-bank-mathura-locality/info
Mathura,OM Sweet Center,"Mithai, Street Food",4.8,₹250 for two,https://www.zomato.com/mathura/om-sweet-center-mathura-locality/info
Mathura,Shri Giriraj Subhadra Bhojnalaya,"Fast Food, Shake, Beverages",-,₹200 for two,https://www.zomato.com/mathura/shri-giriraj-subhadra-bhojnalaya-mathura-locality/info
Mathura,Burger Monk,"Burger, Pizza, Sandwich, Wraps, Fast Food, Shake, Beverages",4.1,₹450 for two,https://www.zomato.com/mathura/burger-monk-mathura-locality/info
Mathura,Hotel Heera Kunj Residency,"North Indian, Chinese, South Indian",3.9,₹300 for two,https://www.zomato.com/mathura/hotel-heera-kunj-residency-mathura-locality/info
Mathura,Coco Chocolate Company,"Desserts, Beverages, Fast Food",3.1,₹300 for two,https://www.zomato.com/mathura/coco-chocolate-company-mathura-locality/info
Mathura,Pastas By Pizza Hut,"Pasta, Italian",-,₹200 for two,https://www.zomato.com/mathura/pastas-by-pizza-hut-2-mathura-locality/info
Mathura,Foodies Vampire,"Pizza, Burger, Sandwich, Fast Food, Street Food, Tea, Shake, Beverages",-,₹400 for two,https://www.zomato.com/mathura/foodies-vampire-mathura-locality/info
Mathura,Burger Point,"Burger, Fast Food",3.7,₹300 for two,https://www.zomato.com/mathura/burger-point-3-mathura-locality/info
Mathura,Basera Restaurant,"North Indian, Fast Food",3.9,₹300 for two,https://www.zomato.com/mathura/basera-restaurant-mathura-locality/info
