Target_Location,Name,Cuisine,Rating,Cost_for_Two
Mathura,Pizza Hut,"Pizza, Fast Food, Desserts, Beverages",4.0,600.0
Mathura,The Foodies Bar,"Fast Food, Momos, Burger, Desserts, Coffee, Shake, Beverages",4.4,1000.0
Mathura,The Belgian Waffle Co.,"Waffle, Pancake, Ice Cream, Desserts, Beverages",4.0,200.0
Mathura,Brijwasi Centrum,"Chinese, Continental, Desserts, Drinks Only, Fast Food, Gujarati, Ice Cream",4.2,1000.0
Mathura,Centre Point,"South Indian, North Indian, Chinese",4.9,250.0
Mathura,The Trunk Bar & Restaurant,"North Indian, Mughlai, Biryani, Kebab, Asian, Thai, Chinese, Beverages",3.9,1000.0
Mathura,Tomar Guest House,"North Indian, Chinese",4.0,300.0
Mathura,Haldiram's,"North Indian, Mithai, Street Food, South Indian, Chinese, Beverages",3.0,400.0
Mathura,Da Pizza Point,"Pizza, Burger, Fast Food, Street Food",3.7,300.0
Mathura,McDonald's,"Cafe, Beverages, Burger, Fast Food, Coffee",3.2,500.0
Mathura,Cha Maska,"Cafe, Coffee, North Indian, Chinese, Pizza, Fast Food, Desserts, Tea",4.0,1000.0
Mathura,Pine & Dine Rooftop Cafe,"Burger, Momos, Fast Food, North Indian, Shake, Beverages",4.0,500.0
Mathura,Gola Patties & Tea Stall,"Fast Food, Bakery, Desserts",4.1,200.0
Mathura,Hot Bite Fresh And Tasty Food,"Fast Food, Chinese, Street Food",3.4,200.0
Mathura,The Burger Hub,"Pizza, Fast Food, Street Food",3.8,350.0
Mathura,Pizza Paradise,"Fast Food, Chinese, Street Food",3.8,300.0
Mathura,Agrawal Restaurant (Since 1969),"North Indian, Fast Food",3.9,300.0
Mathura,Mittal Foods,"North Indian, Chinese",3.9,350.0
Mathura,Bhole Brijwasi Bhojnalay,"North Indian, Chinese",3.0,300.0
Mathura,The Pizza Hub,"Fast Food, Pizza, Burger, Sandwich, Beverages, Street Food, South Indian",4.0,300.0
Mathura,Shankar Mithai Wala,"Mithai, North Indian, Beverages",4.6,350.0
Mathura,Burger King,"Burger, Fast Food, Beverages",3.8,350.0
Mathura,Maa Gaura Restaurant,"North Indian, Chinese, Street Food",4.0,450.0
Mathura,Domino's Pizza,"Pizza, Italian, Pasta, Fast Food, Desserts",2.4,400.0
Mathura,Sanskar Foods,"Fast Food, North Indian, Beverages",4.0,300.0
Mathura,KFC,"Burger, Fast Food, Rolls",3.6,500.0
Mathura,Hotel Brijwasi Royal,"South Indian, Sandwich, North Indian, Chinese, Beverages",3.6,1000.0
Mathura,Dosa Plaza - Hotel Divinity,"South Indian, North Indian, Chinese",4.0,550.0
Mathura,New Pizza Point Restaurant,"Pizza, Burger, Street Food, Fast Food",4.0,300.0
Mathura,Gokul Hotel & Family Restaurant,"North Indian, Beverages",4.0,200.0
Mathura,Rudr Shiva By Mama Yadav,"North Indian, Chinese",3.6,1000.0
Mathura,Prince Restaurant,"Fast Food, North Indian, Charcoal Chicken, Biryani",4.6,1000.0
Mathura,Rahul Bakers,"Bakery, North Indian",3.9,450.0
Mathura,Shri Giriraj Ji Parathe Wale,"North Indian, Chinese",4.0,250.0
Mathura,Shyambhog Family Restaurant,"North Indian, Chinese, Fast Food",4.0,400.0
Mathura,Vijay Store & Confectioners,"North Indian, Chinese",4.0,200.0
Mathura,The Elyra Cafe & Restaurant,"North Indian, South Indian, Chinese, Pizza, Fast Food, Desserts, Shake, Beverages",4.0,1000.0
Mathura,Lazeej,"Fast Food, North Indian, Street Food, Juices",4.0,200.0
Mathura,Vip Pizza,"Street Food, Fast Food, Pizza, Shake, Beverages",4.0,300.0
Mathura,Majeed Restaurant,"Biryani, Mughlai, Afghan",3.7,200.0
Mathura,Standard Cake Bank,"Pizza, Fast Food, Burger",3.8,200.0
Mathura,OM Sweet Center,"Mithai, Street Food",4.8,250.0
Mathura,Shri Giriraj Subhadra Bhojnalaya,"Fast Food, Shake, Beverages",4.0,200.0
Mathura,Burger Monk,"Burger, Pizza, Sandwich, Wraps, Fast Food, Shake, Beverages",4.1,450.0
Mathura,Hotel Heera Kunj Residency,"North Indian, Chinese, South Indian",3.9,300.0
Mathura,Coco Chocolate Company,"Desserts, Beverages, Fast Food",3.1,300.0
Mathura,Pastas By Pizza Hut,"Pasta, Italian",4.0,200.0
Mathura,Foodies Vampire,"Pizza, Burger, Sandwich, Fast Food, Street Food, Tea, Shake, Beverages",4.0,400.0
Mathura,Burger Point,"Burger, Fast Food",3.7,300.0
Mathura,Basera Restaurant,"North Indian, Fast Food",3.9,300.0
Mathura,Rhea's Cafe,"South Indian, Street Food, Beverages",3.8,200.0
Mathura,Madhav Muskan Residency,"North Indian, Fast Food, Shake",3.9,300.0
Mathura,SAM bakers,"Fast Food, Bakery",4.0,200.0
Mathura,Tasty Fresh,"North Indian, Pizza, Burger, Chinese, Fast Food",4.0,300.0
Mathura,Kanhaiya Bhojnalay,"North Indian, Chinese",3.2,300.0
Mathura,La Pino'z Pizza,"North Indian, Chinese",3.7,300.0
Mathura,Pizza And Pizza,"Fast Food, Pizza, Pasta, Burger, Rolls, Momos, Beverages, Shake",2.6,300.0
Mathura,Aryavilas,"North Indian, Chinese, Fast Food, Beverages",4.0,1000.0
Mathura,DND Cafe & Restro,"Fast Food, Pasta, Pizza, Chinese, Shake, Beverages",3.3,300.0
Mathura,Oven 180,"North Indian, Chinese",3.4,100.0
Mathura,Shankar Foods,"Chinese, North Indian, South Indian",4.1,400.0
Mathura,TAF The Annapurna Foods,"North Indian, Chinese, Street Food, Beverages",4.0,450.0
Mathura,Brijwasi Krishna Nagar,"North Indian, South Indian, Fast Food",4.0,200.0
Mathura,Anita Bakers,"Bakery, Desserts, Burger, Pizza, Street Food",4.0,300.0
Mathura,Fox Fire,"North Indian, Chinese, Pizza, Sandwich, Fast Food, Desserts, Shake, Beverages",3.4,400.0
Mathura,Raman Misthan Bhandar,"Mithai, Desserts",4.0,200.0
Mathura,Taj Hotel,"North Indian, Chinese",4.0,400.0
Mathura,Basera Khel Gaon,"North Indian, Chinese",4.0,200.0
Mathura,Kanhiya Bhojnalya,"North Indian, Chinese",4.0,300.0
Mathura,MADHAVAM,"North Indian, South Indian, Chinese, Fast Food, Street Food, Beverages",3.4,250.0
Mathura,Fat Tiger Multicuisine Restaurant,"North Indian, Chinese",4.0,350.0
Mathura,Punjabi Rasoi Chicken Corner - NH 2,"Mughlai, North Indian",3.2,300.0
Mathura,Hashim Chicken Biryani Wale,"North Indian, Chinese",3.1,200.0
Mathura,Kerala Coffee House,"South Indian, Fast Food, North Indian",3.9,200.0
Mathura,Burger Budds,"Burger, Sandwich, Pizza, Wraps, Fast Food, Shake, Beverages",4.2,400.0
Mathura,Gola Paties & Confectionery,"North Indian, Chinese",3.6,250.0
Mathura,Winni Cakes & More,"Bakery, Desserts, Pizza, Sandwich, Wraps, Pasta, Waffle, Beverages",3.4,500.0
Mathura,Y & Y Veg Grill,"North Indian, Chinese, Momos, Fast Food",3.3,300.0
Mathura,Radhika Sweets,"Mithai, Fast Food",3.6,200.0
Mathura,Thaliwala,"North Indian, Sandwich",4.0,350.0
Mathura,Chakhna,"Street Food, Momos, Fast Food",4.1,250.0
Mathura,Moti Mahal Delux,"Mughlai, North Indian, Continental, Chinese, Biryani",3.9,600.0
Mathura,Hotel Abhinandan,"North Indian, Mughlai",3.9,400.0
Mathura,Taj Hotel,"North Indian, Biryani",4.0,200.0
Mathura,Shankar N Modi Bakers Zone,"Bakery, Chinese, Continental, Burger, Sandwich, Fast Food, Shake",4.2,400.0
Mathura,BMAC By Kasey,"Cafe, Fast Food, Bakery, Desserts, Beverages",3.5,500.0
Mathura,Kcr Sainik Restaurant,"North Indian, South Indian",3.9,250.0
Mathura,MunchBox,"Chinese, North Indian",3.9,300.0
Mathura,Rahul Petiz Corner,"North Indian, Chinese",2.9,150.0
Mathura,Hotel Sheetal Regency,"North Indian, Chinese, Beverages, Desserts",3.7,1000.0
Mathura,Punjabi Rasoi Since 2001,"North Indian, Chinese",3.9,300.0
Mathura,Pizza House,"Burger, Sandwich, Fast Food, Street Food, Pizza",3.7,350.0
Mathura,New Punjabi Rasoi Chicken Corner,"Charcoal Chicken, North Indian, Mughlai",4.0,400.0
Mathura,Manhar Family Bhojnalaya,"North Indian, Chinese",3.9,650.0
Mathura,Golden Spoon Cafe,"Pizza, Momos, Fast Food, Pasta, Chinese, Street Food, Shake, Beverages",4.0,450.0
Mathura,Hotel Guru Kripa Grand,"North Indian, Burger, Chinese, Fast Food, Desserts, Beverages",4.0,1000.0
Mathura,Mayur Cafe,"Cafe, Coffee, Pizza, Pasta, Fast Food, Sandwich, Desserts, Beverages",3.9,600.0
Mathura,United Canteen,"South Indian, North Indian, Beverages, Chinese, Street Food, Desserts",3.7,350.0
